Timestamp,Value
1606780800000,21063
1606867200000,21339
1606953600000,22238
1607040000000,23128
1607126400000,24027
1607212800000,24927
1607299200000,25827
1607385600000,26725
1607472000000,27625
1607558400000,28525
1607644800000,29423
1607731200000,30323
1607817600000,31223
1607904000000,32123
1607990400000,33023
1608076800000,33922
1608163200000,34822
1608249600000,35721
1608336000000,36621
1608422400000,37521
1608508800000,38415
1608595200000,39307
1608681600000,40207
1608768000000,41105
1608854400000,42005
1608940800000,42905
1609027200000,43805
1609113600000,44705
1609200000000,45605
1609286400000,46505
1609372800000,47405
1609459200000,48305
1609545600000,49205
1609632000000,50104
1609718400000,51004
1609804800000,51903
1609891200000,52803
1609977600000,53702
1610064000000,54602
1610150400000,55502
1610236800000,56402
1610323200000,57302
1610409600000,58201
1610496000000,59101
1610582400000,60001
1610668800000,60901
1610755200000,61801
1610841600000,62701
1610928000000,63601
1611014400000,64500
1611100800000,65400
1611187200000,66299
1611273600000,67199
1611360000000,68099
1611446400000,68999
1611532800000,69899
1611619200000,70799
1611705600000,71699
1611792000000,72599
1611878400000,73499
1611964800000,74398
1612051200000,75298
1612137600000,76198
1612224000000,77098
1612310400000,77989
1612396800000,78823
1612483200000,79719
1612569600000,80601
1612656000000,81501
1612742400000,82401
1612828800000,83301
1612915200000,84201
1613001600000,85101
1613088000000,86001
1613174400000,86901
1613260800000,87801
1613347200000,88701
1613433600000,89601
1613520000000,90501
1613606400000,91401
1613692800000,92301
1613779200000,93201
1613865600000,94101
1613952000000,95001
1614038400000,95901
1614124800000,96801
1614211200000,97701
1614297600000,98601
1614384000000,99501
1614470400000,100401
1614556800000,101301
1614643200000,102201
1614729600000,103101
1614816000000,104001
1614902400000,104667
1614988800000,105101
1615075200000,106001
1615161600000,106656
1615248000000,107011
1615334400000,107373
1615420800000,107884
1615507200000,108457
1615593600000,108703
1615680000000,108944
1615766400000,109220
1615852800000,109676
1615939200000,110042
1616025600000,110320
1616112000000,110498
1616198400000,110678
1616284800000,110875
1616371200000,110997
1616457600000,111100
1616544000000,111142
1616630400000,111325
1616716800000,111570
1616803200000,111757
1616889600000,111833
1616976000000,112240
1617062400000,112461
1617148800000,112577
1617235200000,112885
1617321600000,113148
1617408000000,113285
1617494400000,113729
1617580800000,114459
1617667200000,115359
1617753600000,115849
1617840000000,116178
1617926400000,116730
1618012800000,117439
1618099200000,117602
1618185600000,117800
1618272000000,118353
1618358400000,118820
1618444800000,119188
1618531200000,119455
1618617600000,120220
1618704000000,120516
1618790400000,120801
1618876800000,120894
1618963200000,121191
1619049600000,121686
1619136000000,122376
1619222400000,122791
1619308800000,123264
1619395200000,123728
1619481600000,123992
1619568000000,124640
1619654400000,125179
1619740800000,126079
1619827200000,126854
1619913600000,127276
1620000000000,127865
1620086400000,128446
1620172800000,129346
1620259200000,129764
1620345600000,130664
1620432000000,131563
1620518400000,132463
1620604800000,133363
1620691200000,134263
1620777600000,135163
1620864000000,136063
1620950400000,136963
1621036800000,137863
1621123200000,138763
1621209600000,139663
1621296000000,140563
1621382400000,141463
1621468800000,142363
1621555200000,143262
1621641600000,144161
1621728000000,145061
1621814400000,145961
1621900800000,146861
1621987200000,147761
1622073600000,148661
1622160000000,149561
1622246400000,150461
1622332800000,151361
1622419200000,152261
1622505600000,153161
1622592000000,154061
1622678400000,154961
1622764800000,155859
1622851200000,156759
1622937600000,157659
1623024000000,158558
1623110400000,159458
1623196800000,160358
1623283200000,161258
1623369600000,162156
1623456000000,163054
1623542400000,163954
1623628800000,164854
1623715200000,165754
1623801600000,166654
1623888000000,167554
1623974400000,168454
1624060800000,169354
1624147200000,170254
1624233600000,171154
1624320000000,172054
1624406400000,172954
1624492800000,173854
1624579200000,174754
1624665600000,175654
1624752000000,176554
1624838400000,177454
1624924800000,178354
1625011200000,179253
1625097600000,180153
1625184000000,181053
1625270400000,181953
1625356800000,182853
1625443200000,183753
1625529600000,184653
1625616000000,185553
1625702400000,186453
1625788800000,187352
1625875200000,188252
1625961600000,189152
1626048000000,190052
1626134400000,190952
1626220800000,191852
1626307200000,192752
1626393600000,193652
1626480000000,194552
1626566400000,195452
1626652800000,196352
1626739200000,197252
1626825600000,198151
1626912000000,198514
1626998400000,198964
1627084800000,199155
1627171200000,199776
1627257600000,200180
1627344000000,200232
1627430400000,200263
1627516800000,200618
1627603200000,201127
1627689600000,201362
1627776000000,201747
1627862400000,202042
1627948800000,202251
1628035200000,202339
1628121600000,203030
1628208000000,203930
1628294400000,204635
1628380800000,204929
1628467200000,205390
1628553600000,205596
1628640000000,206110
1628726400000,206907
1628812800000,207554
1628899200000,208206
1628985600000,208819
1629072000000,209339
1629158400000,209961
1629244800000,210531
1629331200000,211431
1629417600000,212331
1629504000000,213231
1629590400000,214131
1629676800000,215030
1629763200000,215930
1629849600000,216830
1629936000000,217730
1630022400000,218630
1630108800000,219530
1630195200000,220430
1630281600000,221330
1630368000000,222228
1630454400000,223128
1630540800000,224028
1630627200000,224927
1630713600000,225827
1630800000000,226727
1630886400000,227627
1630972800000,228526
1631059200000,229426
1631145600000,230326
1631232000000,231225
1631318400000,232125
1631404800000,233024
1631491200000,233923
1631577600000,234823
1631664000000,235723
1631750400000,236623
1631836800000,237523
1631923200000,238423
1632009600000,239323
1632096000000,240223
1632182400000,241123
1632268800000,241378
1632355200000,241694
1632441600000,242113
1632528000000,242386
1632614400000,242538
1632700800000,242776
1632787200000,242913
1632873600000,243091
1632960000000,243607
1633046400000,243916
1633132800000,244014
1633219200000,244161
1633305600000,244288
1633392000000,244566
1633478400000,244727
1633564800000,245622
1633651200000,246522
1633737600000,246995
1633824000000,247143
1633910400000,247285
1633996800000,247423
1634083200000,247599
1634169600000,247713
1634256000000,247903
1634342400000,248067
1634428800000,248828
1634515200000,248968
1634601600000,249059
1634688000000,249193
1634774400000,249280
1634860800000,249436
1634947200000,249604
1635033600000,249769
1635120000000,249890
1635206400000,250046
1635292800000,250182
1635379200000,250374
1635465600000,250561
1635552000000,250763
1635638400000,251407
1635724800000,252307
1635811200000,252589
1635897600000,252846
1635984000000,253508
1636070400000,254032
1636156800000,254211
1636243200000,254605
1636329600000,255505
1636416000000,256000
1636502400000,256145
1636588800000,256332
1636675200000,256523
1636761600000,256940
1636848000000,257112
1636934400000,257211
1637020800000,257458
1637107200000,257759
1637193600000,258563
1637280000000,259383
1637366400000,259732
1637452800000,260005
1637539200000,260225
1637625600000,260477
1637712000000,260941
1637798400000,261422
1637884800000,261827
1637971200000,262202
1638057600000,262520
1638144000000,262738
1638230400000,263135
1638316800000,263290
1638403200000,263805
1638489600000,264499
1638576000000,265204
1638662400000,265697
1638748800000,266074
1638835200000,266427
1638921600000,266747
1639008000000,267420
1639094400000,267730
1639180800000,268064
1639267200000,268346
1639353600000,268679
1639440000000,269001
1639526400000,269278
1639612800000,270064
1639699200000,270499
1639785600000,270893
1639872000000,271283
1639958400000,271865
1640044800000,272469
1640131200000,273020
1640217600000,273367
1640304000000,273652
1640390400000,273854
1640476800000,274211
1640563200000,274394
1640649600000,274556
1640736000000,274932
1640822400000,275054
1640908800000,275249
1640995200000,275594
1641081600000,275880
1641168000000,276301
1641254400000,276788
1641340800000,277534
1641427200000,278349
1641513600000,278708
1641600000000,279235
1641686400000,279705
1641772800000,280190
1641859200000,280372
1641945600000,280747
1642032000000,281094
1642118400000,281332
1642204800000,281555
1642291200000,282009
1642377600000,282324
1642464000000,282542
1642550400000,282821
1642636800000,283123
1642723200000,283950
1642809600000,284045
1642896000000,284354
1642982400000,285090
1643068800000,285910
1643155200000,286810
1643241600000,287528
1643328000000,287821
1643414400000,288221
1643500800000,288689
1643587200000,289010
1643673600000,289129
1643760000000,289370
1643846400000,289660
1643932800000,289904
1644019200000,290087
1644105600000,290751
1644192000000,290961
1644278400000,291186
1644364800000,291537
1644451200000,292162
1644537600000,292444
1644624000000,292991
1644710400000,293415
1644796800000,293574
1644883200000,294115
1644969600000,294589
1645056000000,295179
1645142400000,295696
1645228800000,295996
1645315200000,296305
1645401600000,296429
1645488000000,296635
1645574400000,296774
1645660800000,297405
1645747200000,298305
1645833600000,299205
1645920000000,299750
1646006400000,300250
1646092800000,300702
1646179200000,301367
1646265600000,302211
1646352000000,303111
1646438400000,304011
1646524800000,304911
1646611200000,305811
1646697600000,306711
1646784000000,307610
1646870400000,308510
1646956800000,309409
1647043200000,310309
1647129600000,311209
1647216000000,312108
1647302400000,313008
1647388800000,313908
1647475200000,314808
1647561600000,315708
1647648000000,316608
1647734400000,317508
1647820800000,318408
1647907200000,319308
1647993600000,320208
1648080000000,321108
1648166400000,322008
1648252800000,322908
1648339200000,323808
1648425600000,324708
1648512000000,325608
1648598400000,326508
1648684800000,327408
1648771200000,328461
1648857600000,329586
1648944000000,330711
1649030400000,331836
1649116800000,332959
1649203200000,334084
1649289600000,335209
1649376000000,336334
1649462400000,337438
1649548800000,338563
1649635200000,339688
1649721600000,340813
1649808000000,341938
1649894400000,343063
1649980800000,344188
1650067200000,345313
1650153600000,346438
1650240000000,347563
1650326400000,348688
1650412800000,349813
1650499200000,350938
1650585600000,352063
1650672000000,353188
1650758400000,354313
1650844800000,355438
1650931200000,356563
1651017600000,357688
1651104000000,358813
1651190400000,359938
1651276800000,361063
1651363200000,362188
1651449600000,363313
1651536000000,364438
1651622400000,365558
1651708800000,366682
1651795200000,367807
1651881600000,368931
1651968000000,370055
1652054400000,371180
1652140800000,372304
1652227200000,373428
1652313600000,374553
1652400000000,375678
1652486400000,376803
1652572800000,377928
1652659200000,379053
1652745600000,380178
1652832000000,381302
1652918400000,382427
1653004800000,383552
1653091200000,384677
1653177600000,385802
1653264000000,386927
1653350400000,388052
1653436800000,389177
1653523200000,390302
1653609600000,391427
1653696000000,392552
1653782400000,393765
1653868800000,395115
1653955200000,396465
1654041600000,396910
1654128000000,397558
1654214400000,398372
1654300800000,398769
1654387200000,399027
1654473600000,399113
1654560000000,399337
1654646400000,399437
1654732800000,399593
1654819200000,399659
1654905600000,399800
1654992000000,400093
1655078400000,401016
1655164800000,401560
1655251200000,401789
1655337600000,401929
1655424000000,402236
1655510400000,402631
1655596800000,402866
1655683200000,403087
1655769600000,403128
1655856000000,403427
1655942400000,403815
1656028800000,404117
1656115200000,404204
1656201600000,404347
1656288000000,404423
1656374400000,404573
1656460800000,404822
